date	close
20150108	78.18
20150109	77.74
20150112	76.72
20150113	76.45
20150114	76.28
20150115	74.05
20150116	75.18
20150120	76.24
20150121	76.74
20150122	77.65
20150123	77.83
20150126	77.5
20150127	75.78
20150128	76.24
20150129	78
20150130	75.91
20150202	74.99
20150203	75.4
20150204	75.63
20150205	75.62
20150206	74.47
20150209	74.44
20150210	75.19
20150211	76.51
20150212	76.23
20150213	75.74
20150217	75.6
20150218	76.71
20150219	79.42
20150220	79.9
20150223	78.84
20150224	78.45
20150225	79.56
20150226	80.41
20150227	78.97
20150302	79.75
20150303	79.6
20150304	80.9
20150305	81.21
20150306	80
20150309	79.44
20150310	77.55
20150311	77.57
20150312	78.93
20150313	78.05
20150316	78.07
20150317	79.36
20150318	80.91
20150319	82.75
20150320	83.8
20150323	84.43
20150324	85.31
20150325	82.92
20150326	83.01
20150327	83.3
20150330	83.2
20150331	82.22
20150401	81.66
20150402	81.56
20150406	82.44
